origin,destination,landing_data,takeoff_data
SBGR,SAEZ,04/01/2023 14:20,04/01/2023 14:20
SAEZ,SBGR,04/01/2023 19:15,04/01/2023 19:15
CYYZ,SBGR,06/01/2023 09:30,06/01/2023 09:30
SBGR,CYYZ,06/01/2023 07:45,06/01/2023 07:45
CYUL,SBGR,06/01/2023 09:25,06/01/2023 09:25
SBGR,CYUL,07/01/2023 08:10,07/01/2023 08:10
CYYZ,SBGR,07/01/2023 09:30,07/01/2023 09:30
SBGR,CYYZ,07/01/2023 07:45,07/01/2023 07:45
CYUL,SBGR,07/01/2023 09:25,07/01/2023 09:25
SBGR,SAEZ,06/01/2023 14:20,06/01/2023 14:20
SBGR,CYUL,08/01/2023 08:10,08/01/2023 08:10
SAEZ,SBGR,06/01/2023 19:15,06/01/2023 19:15
CYYZ,SBGR,08/01/2023 09:30,08/01/2023 09:30
SBGR,CYYZ,08/01/2023 07:45,08/01/2023 07:45
CYUL,SBGR,08/01/2023 09:25,08/01/2023 09:25
SBGR,SAEZ,07/01/2023 14:20,07/01/2023 14:20
SBGR,CYUL,09/01/2023 08:10,09/01/2023 08:10
SAEZ,SBGR,07/01/2023 19:15,07/01/2023 19:15
CYYZ,SBGR,09/01/2023 09:30,09/01/2023 09:30
SBGR,CYYZ,09/01/2023 07:45,09/01/2023 07:45
CYUL,SBGR,09/01/2023 09:25,09/01/2023 09:25
SBGR,SAEZ,08/01/2023 14:20,08/01/2023 14:20
SAEZ,SBGR,08/01/2023 19:15,08/01/2023 19:15
SBGR,CYUL,10/01/2023 08:10,10/01/2023 08:10
CYYZ,SBGR,10/01/2023 09:30,10/01/2023 09:30
SBGR,CYYZ,10/01/2023 07:45,10/01/2023 07:45
SBGR,SAEZ,09/01/2023 14:20,09/01/2023 14:20
CYUL,SBGR,10/01/2023 09:25,10/01/2023 09:25
SBGR,CYUL,11/01/2023 08:10,11/01/2023 08:10
SAEZ,SBGR,09/01/2023 19:15,09/01/2023 19:15
CYYZ,SBGR,11/01/2023 09:30,11/01/2023 09:30
SBGR,CYYZ,11/01/2023 07:45,11/01/2023 07:45
CYUL,SBGR,11/01/2023 09:25,11/01/2023 09:25
SBGR,SAEZ,10/01/2023 14:20,10/01/2023 14:20
SAEZ,SBGR,10/01/2023 19:15,10/01/2023 19:15
SBGR,CYUL,12/01/2023 08:10,12/01/2023 08:10
CYYZ,SBGR,12/01/2023 09:30,12/01/2023 09:30
SBGR,CYYZ,12/01/2023 07:45,12/01/2023 07:45
SBGR,SAEZ,11/01/2023 14:20,11/01/2023 14:20
SAEZ,SBGR,11/01/2023 19:15,11/01/2023 19:15
CYYZ,SBGR,13/01/2023 09:30,13/01/2023 09:30
SBGR,CYYZ,13/01/2023 07:45,13/01/2023 07:45
CYUL,SBGR,13/01/2023 09:25,13/01/2023 09:25
SBGR,CYUL,14/01/2023 08:10,14/01/2023 08:10
